Date,amundi
2016-05-30,1538.91
2016-05-31,1531.71
2016-05-04,1638.94
2016-05-06,1633.88
2016-05-09,1590.26
2016-06-01,1584.3
2016-06-10,1591.79
2016-06-13,1591.64
2016-06-14,1537.71
2016-06-15,1543.09
2016-06-16,1568.13
2016-06-17,1560.86
2016-06-02,1583.59
2016-06-20,1572.13
2016-06-21,1596.18
2016-06-22,1583.78
2016-06-24,1589.16
2016-06-27,1560.54
2016-06-28,1576.98
2016-06-29,1584.51
2016-06-03,1585.62
2016-06-30,1588.82
2016-06-06,1594.67
2016-06-07,1601.01
2016-06-08,1597.98
2016-06-09,1591.83
2016-07-01,1592.2
2016-07-11,1615.82
2016-07-12,1619.29
2016-07-13,1653.29
2016-07-14,1659.22
2016-07-15,1656.17
2016-07-18,1660.02
2016-07-19,1653.26
2016-07-20,1649.5
2016-07-21,1647.54
2016-07-22,1655.53
2016-07-25,1641.31
2016-07-26,1642.56
2016-07-27,1663.86
2016-07-28,1640.25
2016-07-29,1648.38
2016-07-04,1587.64
2016-07-05,1617.06
2016-07-06,1618.48
2016-07-07,1618.03
2016-07-08,1623.98
2016-08-01,1643.22
2016-08-10,1666.45
2016-08-11,1664.31
2016-08-12,1657.32
2016-08-16,1736.79
2016-08-17,1728.42
2016-08-18,1725.87
2016-08-19,1721.44
2016-08-02,1637.57
2016-08-22,1716.14
2016-08-23,1704.72
2016-08-24,1712.24
2016-08-25,1703.39
2016-08-26,1692.13
2016-08-29,1686.09
2016-08-03,1644.26
2016-08-30,1683.25
2016-08-31,1685.6
2016-08-04,1648.13
2016-08-05,1646.79
2016-08-08,1644.18
2016-08-09,1654.49
2016-09-01,1692.46
2016-09-12,1690.04
2016-09-13,1659.9
2016-09-14,1657.21
2016-09-15,1644.61
2016-09-16,1644.56
2016-09-19,1644.41
2016-09-02,1679.23
2016-09-20,1659.51
2016-09-21,1656.57
2016-09-22,1660.67
2016-09-23,1670.18
2016-09-26,1664.44
2016-09-27,1635.18
2016-09-28,1645.58
2016-09-29,1640.61
2016-09-30,1647.02
2016-09-05,1680.37
2016-09-06,1688.18
2016-09-07,1703.58
2016-09-08,1705.52
2016-09-09,1705.77
2017-01-10,1629.55
2017-01-11,1628.85
2017-01-12,1613.88
2017-01-13,1609.64
2017-01-16,1608.27
2017-01-17,1605.72
2017-01-18,1613.85
2017-01-19,1630.17
2017-01-02,1604.89
2017-01-20,1615.18
2017-01-23,1633.31
2017-01-24,1646.35
2017-01-25,1646.86
2017-01-26,1646.47
2017-01-27,1651.78
2017-01-03,1604.82
2017-01-30,1651.56
2017-01-31,1651.55
2017-01-04,1620.12
2017-01-05,1630.58
2017-01-06,1647.15
2017-01-09,1627.63
2017-10-10,1985.41
2017-10-11,2001.7
2017-10-12,2001.11
2017-10-13,2002.54
2017-10-16,2011.58
2017-10-17,1996.5
2017-10-18,1987.93
2017-10-19,1998.33
2017-10-02,1953.14
2017-10-20,1991.98
2017-10-23,1997.27
2017-10-24,2001.42
2017-10-25,2014.68
2017-10-26,2026.74
2017-10-27,2031.8
2017-10-03,1953.06
2017-10-30,2029.92
2017-10-31,2020.18
2017-10-04,1952.97
2017-10-05,1952.9
2017-10-06,1952.8
2017-10-09,1952.53
2017-11-10,2057.38
2017-11-13,2072.97
2017-11-14,2086.26
2017-11-15,2070.18
2017-11-16,2064.16
2017-11-17,2076.49
2017-11-02,2031.88
2017-11-20,2069.4
2017-11-21,2085.47
2017-11-22,2124.79
2017-11-23,2134.19
2017-11-24,2078.5
2017-11-27,2066.52
2017-11-28,2038.09
2017-11-29,2046.65
2017-11-03,2027.43
2017-11-30,2052.79
2017-11-06,2010.11
2017-11-07,2022.41
2017-11-08,2041.33
2017-11-09,2044.99
2017-12-01,2024.81
2017-12-11,2010.07
2017-12-12,2044.86
2017-12-13,2010.3
2017-12-14,2038.1
2017-12-15,2031.97
2017-12-18,2008.57
2017-12-19,2000.95
2017-12-20,2034.47
2017-12-21,2041.64
2017-12-22,2069.18
2017-12-27,2090.61
2017-12-28,2045.57
2017-12-29,2066.14
2017-12-04,2025.34
2017-12-05,2028.18
2017-12-06,2027.48
2017-12-07,2019.63
2017-12-08,1993.34
2017-02-01,1651.49
2017-02-10,1663.27
2017-02-13,1670.6
2017-02-14,1680.18
2017-02-15,1680.36
2017-02-16,1677.05
2017-02-17,1689.49
2017-02-02,1651.41
2017-02-20,1674.1
2017-02-21,1698.37
2017-02-22,1702.54
2017-02-23,1710.86
2017-02-24,1699.11
2017-02-27,1703.73
2017-02-28,1683.99
2017-02-03,1651.34
2017-02-06,1645.36
2017-02-07,1651.11
2017-02-08,1644.93
2017-02-09,1652.16
2017-03-01,1692.01
2017-03-10,1669.75
2017-03-13,1667.9
2017-03-14,1682.75
2017-03-15,1682.9
2017-03-16,1687.55
2017-03-17,1700.11
2017-03-02,1691.15
2017-03-20,1678.78
2017-03-21,1682.12
2017-03-22,1688.9
2017-03-23,1677.87
2017-03-24,1686.2
2017-03-27,1697.6
2017-03-28,1696.09
